"URL","Status_Code"
"https://www.wsj.com/articles/theresa-may-facing-hard-deadline-struggles-to-navigate-treacherous-brexit-politics-1538330894?mod=hp_listb_pos4","200"
"http://www.wsj.com/video/video-shows-wave-hitting-indonesian-town-after-earthquake/2BF17B89-6CA1-453A-BB0F-DF5BE7C74EB0.html","301"
"https://www.wsj.com/news/business/law-legal","200"
"https://www.wsj.com/articles/how-much-politics-in-a-supreme-court-justice-1538405660?mod=article_inline&tesla=y","200"
"https://www.wsj.com/video/browse/tech","200"
"http://www.wsj.com/video/browse/most-popular","301"
"https://www.wsj.com/articles/south-korean-exports-in-september-show-underlying-strength-1538365492?mod=hp_major_pos12","200"
"http://www.wsj.com/video/myanmar-jails-reuters-journalists-investigating-rohingya-killings/670ABFFD-0C27-4DCA-A4B3-BBE872937996.html","301"
"https://www.wsj.com/articles/u-s-canada-likely-to-reach-nafta-accord-sunday-announcement-is-imminent-1538360025?mod=hp_major_pos7","200"
"http://www.wsj.com/news/column/Corrections","301"
"https://www.wsj.com/news/author/5470","200"
"https://www.wsj.com/articles/elon-musk-stirs-controversy-on-twitter-in-wake-of-sec-settlement-1538432084?mod=article_inline","200"
"http://www.wsj.com/video/series","301"
"https://www.wsj.com/articles/wearable-health-monitors-do-they-work-1537149961?mod=hp_jr_pos2","200"
"https://www.wsj.com/news/realestate","200"
"http://www.wsj.com/video/turkish-central-bank-sharp-rate-rise-appears-to-defy-erdogan/845D8719-97D4-476D-A441-88D9373BF4D9.html","301"
"https://www.wsj.com/news/business/industrial-services","200"
"https://www.wsj.com/articles/dunkin-to-drop-donuts-from-brands-name-1537905438?mod=hp_minor_pos3","200"
"http://www.wsj.com/video/browse/top-news","301"
"https://www.wsj.com/articles/secs-musk-lawsuit-highlights-dangers-of-social-media-disclosures-1538102470?mod=hp_minor_pos9","200"
"https://www.wsj.com/news/author/5356","200"
"https://www.wsj.com/news/life-arts/arts","200"
"https://www.wsj.com/news/types/bookshelf","200"
"http://www.wsj.com/video/trump-targets-china-during-un-speech/DD41EBB0-A206-4DB2-BB0D-28AC3CF89A29.html","301"
"https://www.wsj.com/articles/trump-makes-a-deal-1538426266?mod=hp_opin_pos1","200"
"https://www.wsj.com/news/life-arts/ideas","200"
"http://www.wsj.com/video/browse/business","301"
"https://www.wsj.com/news/magazine/food","200"
"http://www.wsj.com/video/browse/life-culture/autos","301"
"https://www.wsj.com/news/business/consumer-products","200"
"https://www.wsj.com/video/browse/business/economy","200"
"https://www.wsj.com/articles/picketing-targets-contractor-hiring-at-california-freight-sites-1538431437?mod=hp_minor_pos13","200"
"https://www.wsj.com/articles/ignore-our-numbersplease-1538338010?mod=hp_opin_pos2","200"
"http://www.wsj.com/video/browse/news/us-news","301"
